City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,description
0,Cape Town,-33.9258,18.4232,65.26,35,0,5.75,ZA,clear sky
1,Mahebourg,-20.4081,57.7,70.09,73,20,9.22,MU,few clouds
2,Mataura,-46.1927,168.8643,39.47,91,90,3.67,NZ,overcast clouds
3,Pangnirtung,66.1451,-65.7125,46.4,71,90,5.75,CA,overcast clouds
4,Katobu,-4.9408,122.5276,71.28,91,19,3.24,ID,few clouds
5,Tuktoyaktuk,69.4541,-133.0374,53.6,71,40,14.97,CA,scattered clouds
6,Belaya Gora,68.5333,146.4167,48.29,66,26,13.6,RU,scattered clouds
7,East London,-33.0153,27.9116,58.14,72,0,16.11,ZA,clear sky
8,Carauari,-4.8828,-66.8958,87.28,57,93,0.96,BR,overcast clouds
9,Mokhsogollokh,61.4681,128.9203,58.59,98,98,4.59,RU,overcast clouds
10,Kharitonovo,61.4009,47.4978,54.86,57,99,7.27,RU,overcast clouds
11,Ushuaia,-54.8,-68.3,37.06,81,20,5.75,AR,few clouds
12,Hurghada,27.2574,33.8129,89.46,36,0,22.55,EG,clear sky
13,Ostersund,63.1792,14.6357,74.61,49,0,5.75,SE,clear sky
14,Punta Arenas,-53.15,-70.9167,39.22,81,75,12.66,CL,broken clouds
15,Mar Del Plata,-38.0023,-57.5575,54.0,64,0,13.0,AR,clear sky
16,Lengshuijiang,27.6881,111.4294,75.0,95,17,3.2,CN,few clouds
17,Jamestown,42.097,-79.2353,78.39,58,1,5.99,US,clear sky
18,Cedar Falls,42.5278,-92.4455,82.22,75,40,1.01,US,scattered clouds
19,Matay,28.419,30.7792,97.05,17,0,14.43,EG,clear sky
20,Georgetown,5.4112,100.3354,85.89,76,20,1.01,MY,few clouds
21,Vaini,-21.2,-175.2,69.96,100,20,1.14,TO,fog
22,Changping,40.2186,116.2197,83.52,77,22,7.0,CN,few clouds
23,Hobart,-42.8794,147.3294,45.27,85,98,1.01,AU,overcast clouds
24,Bulnes,-36.7423,-72.2985,52.68,74,100,8.23,CL,overcast clouds
25,Ginda,30.6945,78.4932,69.82,93,82,1.9,IN,broken clouds
26,Yellowknife,62.456,-114.3525,48.72,68,75,4.0,CA,broken clouds
27,Ferrol,43.4832,-8.2369,71.71,75,19,10.69,ES,few clouds
28,Ancud,-41.8697,-73.8203,46.22,76,100,5.88,CL,overcast clouds
